text,sentiment
yeh niice didnt realise loved many classic think il go next concert wont year,0
soooo fucking fun downtown tj w omar vicky jose luis bar hopping hahasex beach heaven lol,1
jeeeeebus dont around haha hasnt cold flat yet n yeah winter hows manc x,0
sometimes lol mess come together kinda kill mind start doubting every little shit lately,0
nope going pizza hut,1
made coolest div breakfastclub sleep give inspiration guess cant bothered code til morning,1
bye class graduation sad,0
bachelor temp bachelor wife kid vacation,0
gahh freakin love class asl totally heart,1
dont totally tho lol,0
thanks clarifying interesting,1
great raining prague birthday also day papa roach concert,0
something country,1
happy mother day mom,1
couldnt resist saw robert pattinson theyre shooting new moon min house fangirls raiding town,1
muah damaged thumb damage far severe tho aint complaining,1
got tonsillitis hurt,0
im spammer much tweeter either youve got one legitimate follower,1
lol way mang idea im,1
ooo getting credit card bad idea concert ticket camera ipod later,1
tummy feel icky didnt even drink tonight,0
hi miley tie dye yur hurr,1
trying go sleep working ughh,0
ill get cd passed way even spell name wrong,1
tsinelalalovin kailangan daw balikan sige manyer well get bigger bangka lol,1
thats really cool u deon r working together might get see sunday even tho itll whole fam,0
left kristins wiill night bring,0
please stop gloating fair first blur lunch sun la dolce vita eh,0
dampnerso yahoo googlescratch tweet,1
signed cape cod gateway ride m end june part rollin nowlins wooo hooo mile,1
teeff hurt,0
work done mhahaha,1
let know doctor say also need come home look l,0
hey hun couldnt imagine traveling like keep head inspiration many live,0
cheer already vacation end soon though okay enough twittering,1
bothering lol,0
aww im sorry,0
u know nautinkotbkitty voyeur side truely come,1
tote eyl deff better night last night didnt even get twirly fl whomp whomp,0
anyone recommend good hand cream preferably one isnt super greasy smell like flower garden im guy see thanks,1
still headache,0
horton hears im watching whole new perspective,0
hurt injection,0
back dog trust,1
difference hope helped,1
lunch large suffering,0
jenna sangria please follow lol oh wait u dont follow,0
still studying bio praying god get hahah kidding,0
wan na long wavy hair kind like serenas,0
great day tomorrow amazing,1
hey danny gig last night hows going new album plz answer xx mcflytoisrael,1
frinightfever loving quickness fun,1
goodnight,1
bad isnt well biology,1
really good news,1
good,1
cumulative gpa still,0
dance flick great movie would thinkall funny part commercial,0
aawwwww youre heart sick pobrecita,0
meeting new people fun fun,0
svt get though,1
sorry get older body get allergic thing major bummer,0
u follow thanks hun,1
think brain big head,0
ive done cycle miss vancouver,0
took sweet time making dinner poor e ate soup,0
poser waste life got ta ignore know youre real thats matter,1
emergency vet cat poor simba limping wont stop cry,0
feeling saablove isnt going clean inca might feel saablove,0
right across street old apt meeemories,0
cant phone wont let view twitter standard,0
sun today,0
moving v stressful ok think future,1
back uk happy headache since landing,0
im awakeall alone,0
im sorry,0
lil pissed,0
got,1
haha know right,1
love,1
lol yup never earthquake pembroke snow,1
im working womanizer wake early,0
phone call enquiry work,1
havent tweeter alot latley oh well,1
boo hoo hope youve got face mask,0
hh brunch u many mimosa dying bike today today started aid lifecycle,0
greg u stop joke already,0
say quotmaybe weekendquot ready meet baby ethan,1
oh dear everything ok,0
aww hehe love guy,1
anyone doinn anything exciting,1
wan na go berkley see gilman stmaybe might see green day,1
ooh thats good howd happen,0
lol get bed,1
voice recital wasnt half bad first song eh nd song perty awesome happy bday si amazing,1
ahh know gg soo good love twittereddd,1
woot day amazing weather fb,1
got late,0
xd send,1
day ive finally succumbedjust e rrod,0
draw something,1
oh ok saw heavy flooding tvthats making sure u ok kiss received sent right back ya,1
breakfastofchampions jungle oat thanx love yummy,1
sleep yet againnot looking forward typing paper,0
think watching question sport rerun beneficial morningfoul mood shown oh well xx,1
hope youre okay,0
treeplanting day union square,1
pineapple newsapp decided throw towel machine wont connect newsgroups,0
mmmmmm dont know,1
hehehe nanti lepas print baru give lol ok nanti add u polyvore,1
lol yea well winter suck hate snow,0
sorry rise superstardom rocky road past weekz,0
obviously best use time check review theyre super helpful,1
sign fill atleast offer understand people back come free amp easy,1
yeah wonder everyone would handle acid day interesting sight,1
broke internet broke iphone sad sad day,0
saw yesterday thought pretty good also watch episode hannah montana david archuleta,1
jayz linkin park faster prototyping,1
looking forward seeing,1
got nothin,0
going work,1
lmfao talking fail whale unless something star trek havent seen yet,0
involves mampms im olivia sometime soon,1
contemplating housecleaning wishing lady dtec story amp trying accept may stay,0
yes glad got copper peak logistics rule,1
know table content,0
tax rate raised starting today dear government please use many extreme care,0
work til fun tired ready bed,0
cant believe got burned savannah next weekend yay,0
morning everyone thinking whather go college today lot thing,0
ninja want im afraid cant share rum duck incase shuroken,0
lawrence mass sorry missed come marley amp outdoor movie next fri,0
awwwwwwwww sound amazing sister cant even make real yummy egg xxxx,0
noooo tooook keviiin,0
nervous wan na back feel like im gon na throw dont wan na,0
normally adore thunderstorm mess little girl birthday party,0
he thats obvious,0
work boring sample constantly test hour,0
lt good choice zomg sound awesome im sadly tattoooless planning sleeve based nins tdtwwa artvideo,0
got home getting ready feed new babay boy,1
going go see younger brother who home visit,1
im loss losing bag camp mean half clothes gone cant afford,0
quite good far another day go yes one end may none end august,0
hour drive could probably swim miss,0
battery running,0
dont get startednext yr big memy blur,0
congratulation guy awesome,1
sunglass broken,0
whoo hoo got copy day early good thing happen preorder btw awesome,1
rainy day beach still better day missing someone special though,0
california pizza kitchen lunch work im sick work glad weekend though,0
woke long naponly see beautiful sight world half nakedtoo bad cant see whole pkg,0
aargh thats old stomping ground wherever live somehow lead mad traffic,0
washing clothes fab weekend away,1
